"","LOC","RefSeq","Description","RefSeq_short"
"38","LOC100648385","XM_012320962.1","PREDICTED: Bombus terrestris TBC1 domain family member 25 (LOC100648385)","XM_012320962"
"39","LOC100651235","XM_003392881.2","PREDICTED: Bombus terrestris G-protein coupled receptor Mth2 (LOC100651235) transcript variant X1","XM_003392881"
"40","LOC100651235","XM_012307820.1","PREDICTED: Bombus terrestris G-protein coupled receptor Mth2 (LOC100651235) transcript variant X2","XM_012307820"
"41","LOC100648500","XM_012307699.1","PREDICTED: Bombus terrestris mitochondrial sodium/hydrogen exchanger 9B2 (LOC100648500) transcript variant X6","XM_012307699"
"42","LOC100648500","XM_012321356.1","PREDICTED: Bombus terrestris mitochondrial sodium/hydrogen exchanger 9B2 (LOC100648500) transcript variant X5","XM_012321356"
"43","LOC100648500","XM_012321241.1","PREDICTED: Bombus terrestris mitochondrial sodium/hydrogen exchanger 9B2 (LOC100648500) transcript variant X3","XM_012321241"
"44","LOC100648500","XM_012321290.1","PREDICTED: Bombus terrestris mitochondrial sodium/hydrogen exchanger 9B2 (LOC100648500) transcript variant X4","XM_012321290"
"45","LOC100648500","XM_012321188.1","PREDICTED: Bombus terrestris mitochondrial sodium/hydrogen exchanger 9B2 (LOC100648500) transcript variant X2","XM_012321188"
"46","LOC100648500","XM_012321140.1","PREDICTED: Bombus terrestris mitochondrial sodium/hydrogen exchanger 9B2 (LOC100648500) transcript variant X1","XM_012321140"
"47","LOC105667172","XR_001099795.1","PREDICTED: Bombus terrestris uncharacterized LOC105667172 (LOC105667172) transcript variant X2","XR_001099795"
"48","LOC105667172","XR_001099798.1","PREDICTED: Bombus terrestris uncharacterized LOC105667172 (LOC105667172) transcript variant X3","XR_001099798"
"49","LOC105667172","XR_001099793.1","PREDICTED: Bombus terrestris uncharacterized LOC105667172 (LOC105667172) transcript variant X1","XR_001099793"
"50","LOC100651474","XM_003392882.2","PREDICTED: Bombus terrestris neuroligin-1 (LOC100651474)","XM_003392882"
"51","LOC100651591","XM_003392883.2","PREDICTED: Bombus terrestris putative ATP-dependent RNA helicase DHX33 (LOC100651591)","XM_003392883"
"52","LOC100651709","XM_003392884.2","PREDICTED: Bombus terrestris major facilitator superfamily domain-containing protein 1-like (LOC100651709)","XM_003392884"
"53","LOC100651827","XM_012308277.1","PREDICTED: Bombus terrestris chromatin complexes subunit BAP18 (LOC100651827) transcript variant X3","XM_012308277"
"54","LOC100651827","XM_003392885.2","PREDICTED: Bombus terrestris chromatin complexes subunit BAP18 (LOC100651827) transcript variant X2","XM_003392885"
"55","LOC100651827","XM_012308345.1","PREDICTED: Bombus terrestris chromatin complexes subunit BAP18 (LOC100651827) transcript variant X4","XM_012308345"
"56","LOC100651827","XM_012308165.1","PREDICTED: Bombus terrestris chromatin complexes subunit BAP18 (LOC100651827) transcript variant X1","XM_012308165"
"57","LOC100652027","XM_003392887.2","PREDICTED: Bombus terrestris tribbles homolog 2 (LOC100652027)","XM_003392887"
"58","LOC100642190","XM_003392890.2","PREDICTED: Bombus terrestris uncharacterized LOC100642190 (LOC100642190) transcript variant X1","XM_003392890"
"59","LOC100642190","XM_012308668.1","PREDICTED: Bombus terrestris uncharacterized LOC100642190 (LOC100642190) transcript variant X4","XM_012308668"
"60","LOC100642190","XM_012308562.1","PREDICTED: Bombus terrestris uncharacterized LOC100642190 (LOC100642190) transcript variant X2","XM_012308562"
"61","LOC100642190","XM_012308609.1","PREDICTED: Bombus terrestris uncharacterized LOC100642190 (LOC100642190) transcript variant X3","XM_012308609"
"62","LOC100648617","XM_012308756.1","PREDICTED: Bombus terrestris uncharacterized LOC100648617 (LOC100648617)","XM_012308756"
"63","LOC100642911","XM_003392896.2","PREDICTED: Bombus terrestris cysteine-rich hydrophobic domain-containing protein 2 (LOC100642911)","XM_003392896"
"64","LOC100642433","XM_012309029.1","PREDICTED: Bombus terrestris condensin complex subunit 2-like (LOC100642433) transcript variant X3","XM_012309029"
"65","LOC100642433","XM_012308977.1","PREDICTED: Bombus terrestris condensin complex subunit 2-like (LOC100642433) transcript variant X2","XM_012308977"
"66","LOC100642433","XM_012308923.1","PREDICTED: Bombus terrestris condensin complex subunit 2-like (LOC100642433) transcript variant X1","XM_012308923"
"67","LOC100642433","XM_012309080.1","PREDICTED: Bombus terrestris condensin complex subunit 2-like (LOC100642433) transcript variant X4","XM_012309080"
"68","LOC100642313","XM_012309160.1","PREDICTED: Bombus terrestris ubiquitin carboxyl-terminal hydrolase 46 (LOC100642313) transcript variant X1","XM_012309160"
"69","LOC100642313","XM_012309217.1","PREDICTED: Bombus terrestris ubiquitin carboxyl-terminal hydrolase 46 (LOC100642313) transcript variant X2","XM_012309217"
"70","LOC100643028","XM_003392897.2","PREDICTED: Bombus terrestris 60S ribosomal protein L21 (LOC100643028)","XM_003392897"
"71","LOC100642673","XM_003392894.2","PREDICTED: Bombus terrestris proteasome subunit alpha type-1 (LOC100642673)","XM_003392894"
"72","LOC100642551","XM_012309400.1","PREDICTED: Bombus terrestris lipoyl synthase","XM_012309400"
"73","LOC100642551","XM_012309462.1","PREDICTED: Bombus terrestris lipoyl synthase","XM_012309462"
"74","LOC100652148","XM_003392888.2","PREDICTED: Bombus terrestris sterol regulatory element-binding protein 1 (LOC100652148)","XM_003392888"
"75","LOC100648733","XM_012309684.1","PREDICTED: Bombus terrestris nuclear receptor 2C2-associated protein (LOC100648733) transcript variant X2","XM_012309684"
"76","LOC100648733","XM_012309635.1","PREDICTED: Bombus terrestris nuclear receptor 2C2-associated protein (LOC100648733) transcript variant X1","XM_012309635"
"77","LOC100642791","XM_003392895.2","PREDICTED: Bombus terrestris ER membrane protein complex subunit 8/9 homolog (LOC100642791)","XM_003392895"
"78","LOC100648847","XR_001098836.1","PREDICTED: Bombus terrestris uncharacterized LOC100648847 (LOC100648847) transcript variant X1","XR_001098836"
"79","LOC100648847","XM_003392862.2","PREDICTED: Bombus terrestris uncharacterized LOC100648847 (LOC100648847) transcript variant X2","XM_003392862"
"80","LOC100648963","XM_012316670.1","PREDICTED: Bombus terrestris myosin-8 (LOC100648963)","XM_012316670"
"81","LOC100642312","XM_003392812.2","PREDICTED: Bombus terrestris ubiquitin-like-conjugating enzyme ATG3 (LOC100642312)","XM_003392812"
"82","LOC100642432","XM_012310222.1","PREDICTED: Bombus terrestris anaphase-promoting complex subunit 7 (LOC100642432) transcript variant X2","XM_012310222"
"83","LOC100642432","XM_003392813.2","PREDICTED: Bombus terrestris anaphase-promoting complex subunit 7 (LOC100642432) transcript variant X1","XM_003392813"
"84","LOC100642550","XM_003392814.2","PREDICTED: Bombus terrestris protein FAM122A (LOC100642550)","XM_003392814"
"85","LOC100642672","XM_003392815.2","PREDICTED: Bombus terrestris selT-like protein (LOC100642672)","XM_003392815"
"86","LOC100642790","XM_003392816.2","PREDICTED: Bombus terrestris ankyrin repeat domain-containing protein 13C (LOC100642790)","XM_003392816"
"87","LOC100642910","XM_012310646.1","PREDICTED: Bombus terrestris BTB/POZ domain-containing protein 9 (LOC100642910) transcript variant X2","XM_012310646"
"88","LOC100642910","XM_012310699.1","PREDICTED: Bombus terrestris BTB/POZ domain-containing protein 9 (LOC100642910) transcript variant X3","XM_012310699"
"89","LOC100642910","XM_012310747.1","PREDICTED: Bombus terrestris BTB/POZ domain-containing protein 9 (LOC100642910) transcript variant X4","XM_012310747"
"90","LOC100642910","XM_003392817.2","PREDICTED: Bombus terrestris BTB/POZ domain-containing protein 9 (LOC100642910) transcript variant X1","XM_003392817"
"91","LOC100643147","XM_012310957.1","PREDICTED: Bombus terrestris cyclin-dependent kinase 10 (LOC100643147)","XM_012310957"
"92","LOC100643514","XM_012310878.1","PREDICTED: Bombus terrestris ejaculatory bulb-specific protein 3-like (LOC100643514) transcript variant X2","XM_012310878"
"93","LOC100643514","XM_003392820.2","PREDICTED: Bombus terrestris ejaculatory bulb-specific protein 3-like (LOC100643514) transcript variant X1","XM_003392820"
"94","LOC100643027","XM_012311106.1","PREDICTED: Bombus terrestris GON-4-like protein (LOC100643027) transcript variant X2","XM_012311106"
"95","LOC100643027","XM_012311045.1","PREDICTED: Bombus terrestris GON-4-like protein (LOC100643027) transcript variant X1","XM_012311045"
"96","LOC100643270","XM_012311436.1","PREDICTED: Bombus terrestris phosphorylated adapter RNA export protein (LOC100643270) transcript variant X2","XM_012311436"
"97","LOC100643270","XM_012311377.1","PREDICTED: Bombus terrestris phosphorylated adapter RNA export protein (LOC100643270) transcript variant X1","XM_012311377"
"98","LOC100643393","XM_012311293.1","PREDICTED: Bombus terrestris probable oligoribonuclease (LOC100643393) transcript variant X3","XM_012311293"
"99","LOC100643393","XM_012311183.1","PREDICTED: Bombus terrestris probable oligoribonuclease (LOC100643393) transcript variant X1","XM_012311183"
"100","LOC100643393","XM_012311232.1","PREDICTED: Bombus terrestris probable oligoribonuclease (LOC100643393) transcript variant X2","XM_012311232"
"101","LOC100644354","XM_003392828.2","PREDICTED: Bombus terrestris uncharacterized LOC100644354 (LOC100644354) transcript variant X1","XM_003392828"
"102","LOC100644354","XM_003392829.2","PREDICTED: Bombus terrestris uncharacterized LOC100644354 (LOC100644354) transcript variant X2","XM_003392829"
"103","LOC100643837","XM_003392823.2","PREDICTED: Bombus terrestris exosome complex component RRP42 (LOC100643837) transcript variant X1","XM_003392823"
"104","LOC100643837","XM_012311747.1","PREDICTED: Bombus terrestris exosome complex component RRP42 (LOC100643837) transcript variant X2","XM_012311747"
"105","LOC100643837","XM_012311867.1","PREDICTED: Bombus terrestris exosome complex component RRP42 (LOC100643837) transcript variant X4","XM_012311867"
"106","LOC100643837","XM_012311810.1","PREDICTED: Bombus terrestris exosome complex component RRP42 (LOC100643837) transcript variant X3","XM_012311810"
"107","LOC100644746","XM_003392832.2","PREDICTED: Bombus terrestris uncharacterized LOC100644746 (LOC100644746)","XM_003392832"
"108","LOC100644236","XM_003392827.2","PREDICTED: Bombus terrestris NADH dehydrogenase [ubiquinone 1 alpha subcomplex subunit 12 (LOC100644236)","XM_003392827"
"109","LOC100649198","XM_012312549.1","PREDICTED: Bombus terrestris uncharacterized LOC100649198 (LOC100649198)","XM_012312549"
"110","LOC100644628","XM_012312364.1","PREDICTED: Bombus terrestris uncharacterized LOC100644628 (LOC100644628) transcript variant X5","XM_012312364"
"111","LOC100644628","XM_012312156.1","PREDICTED: Bombus terrestris uncharacterized LOC100644628 (LOC100644628) transcript variant X1","XM_012312156"
"112","LOC100644628","XM_012312261.1","PREDICTED: Bombus terrestris uncharacterized LOC100644628 (LOC100644628) transcript variant X3","XM_012312261"
"113","LOC100644628","XM_012312219.1","PREDICTED: Bombus terrestris uncharacterized LOC100644628 (LOC100644628) transcript variant X2","XM_012312219"
"114","LOC100644628","XM_012312415.1","PREDICTED: Bombus terrestris uncharacterized LOC100644628 (LOC100644628) transcript variant X6","XM_012312415"
"115","LOC100644628","XM_012312469.1","PREDICTED: Bombus terrestris uncharacterized LOC100644628 (LOC100644628) transcript variant X7","XM_012312469"
"116","LOC100644628","XM_012312318.1","PREDICTED: Bombus terrestris uncharacterized LOC100644628 (LOC100644628) transcript variant X4","XM_012312318"
"117","LOC100644046","XM_003392825.2","PREDICTED: Bombus terrestris GTP-binding protein Rheb homolog (LOC100644046) transcript variant X1","XM_003392825"
"118","LOC100644046","XM_012312015.1","PREDICTED: Bombus terrestris GTP-binding protein Rheb homolog (LOC100644046) transcript variant X2","XM_012312015"
"119","LOC100644046","XM_012312067.1","PREDICTED: Bombus terrestris GTP-binding protein Rheb homolog (LOC100644046) transcript variant X3","XM_012312067"
"120","LOC100644871","XM_003392833.2","PREDICTED: Bombus terrestris uncharacterized LOC100644871 (LOC100644871)","XM_003392833"
"121","LOC100644991","XM_003392834.2","PREDICTED: Bombus terrestris exocyst complex component 1 (LOC100644991)","XM_003392834"
"122","LOC100645110","XM_003392835.2","PREDICTED: Bombus terrestris microfibrillar-associated protein 1 (LOC100645110)","XM_003392835"
"123","LOC100645230","XM_012313034.1","PREDICTED: Bombus terrestris 46 kDa FK506-binding nuclear protein (LOC100645230)","XM_012313034"
"124","LOC105666164","XR_001099062.1","PREDICTED: Bombus terrestris uncharacterized LOC105666164 (LOC105666164) ncRNA","XR_001099062"
"125","LOC100645431","XM_012316843.1","PREDICTED: Bombus terrestris uncharacterized LOC100645431 (LOC100645431)","XM_012316843"
"126","LOC100649317","XM_012313112.1","PREDICTED: Bombus terrestris superkiller viralicidic activity 2-like 2 (LOC100649317)","XM_012313112"
"127","LOC100645550","XM_003392836.2","PREDICTED: Bombus terrestris FAS-associated factor 1 (LOC100645550)","XM_003392836"
"128","LOC100645787","XM_003392838.2","PREDICTED: Bombus terrestris NEDD8-conjugating enzyme Ubc12 (LOC100645787) transcript variant X1","XM_003392838"
"129","LOC100645787","XM_003392839.2","PREDICTED: Bombus terrestris NEDD8-conjugating enzyme Ubc12 (LOC100645787) transcript variant X2","XM_003392839"
"130","LOC100645666","XM_003392837.2","PREDICTED: Bombus terrestris importin-7 (LOC100645666) transcript variant X2","XM_003392837"
"131","LOC100645666","XR_001099129.1","PREDICTED: Bombus terrestris importin-7 (LOC100645666) transcript variant X4","XR_001099129"
"132","LOC100645666","XM_012313531.1","PREDICTED: Bombus terrestris importin-7 (LOC100645666) transcript variant X3","XM_012313531"
"133","LOC100645666","XM_012313417.1","PREDICTED: Bombus terrestris importin-7 (LOC100645666) transcript variant X1","XM_012313417"
"134","LOC100645973","XM_003392840.2","PREDICTED: Bombus terrestris F-box only protein 28 (LOC100645973)","XM_003392840"
"135","LOC100646091","XM_003392841.2","PREDICTED: Bombus terrestris protein MAATS1-like (LOC100646091) transcript variant X2","XM_003392841"
"136","LOC100646091","XM_012313921.1","PREDICTED: Bombus terrestris protein MAATS1-like (LOC100646091) transcript variant X1","XM_012313921"
"137","LOC100646214","XM_012313740.1","PREDICTED: Bombus terrestris uncharacterized LOC100646214 (LOC100646214)","XM_012313740"
"138","LOC100649434","XM_012316918.1","PREDICTED: Bombus terrestris glutamic acid-rich protein-like (LOC100649434)","XM_012316918"
"139","LOC100649559","XM_012316995.1","PREDICTED: Bombus terrestris spindle pole body component 110 (LOC100649559)","XM_012316995"
"140","LOC100649679","XM_012314154.1","PREDICTED: Bombus terrestris phosphoinositide 3-kinase regulatory subunit 4 (LOC100649679)","XM_012314154"
"141","LOC105666289","XR_001099182.1","PREDICTED: Bombus terrestris uncharacterized LOC105666289 (LOC105666289) ncRNA","XR_001099182"
"142","LOC100647053","XM_012314827.1","PREDICTED: Bombus terrestris hippocalcin-like protein 4 (LOC100647053) transcript variant X2","XM_012314827"
"143","LOC100647053","XM_012314885.1","PREDICTED: Bombus terrestris hippocalcin-like protein 4 (LOC100647053) transcript variant X3","XM_012314885"
"144","LOC100647053","XM_012315015.1","PREDICTED: Bombus terrestris hippocalcin-like protein 4 (LOC100647053) transcript variant X5","XM_012315015"
"145","LOC100647053","XM_012314778.1","PREDICTED: Bombus terrestris hippocalcin-like protein 4 (LOC100647053) transcript variant X1","XM_012314778"
"146","LOC100647053","XM_012314948.1","PREDICTED: Bombus terrestris hippocalcin-like protein 4 (LOC100647053) transcript variant X4","XM_012314948"
"147","LOC100647053","XM_012315079.1","PREDICTED: Bombus terrestris hippocalcin-like protein 4 (LOC100647053) transcript variant X6","XM_012315079"
"148","LOC100646937","XM_012314565.1","PREDICTED: Bombus terrestris vesicle transport protein SEC20 (LOC100646937) transcript variant X4","XM_012314565"
"149","LOC100646937","XM_012314449.1","PREDICTED: Bombus terrestris vesicle transport protein SEC20 (LOC100646937) transcript variant X2","XM_012314449"
"150","LOC100646937","XM_012314678.1","PREDICTED: Bombus terrestris vesicle transport protein SEC20 (LOC100646937) transcript variant X6","XM_012314678"
"151","LOC100646937","XM_012314626.1","PREDICTED: Bombus terrestris vesicle transport protein SEC20 (LOC100646937) transcript variant X5","XM_012314626"
"152","LOC100646937","XM_012314515.1","PREDICTED: Bombus terrestris vesicle transport protein SEC20 (LOC100646937) transcript variant X3","XM_012314515"
"153","LOC100646937","XM_003392847.2","PREDICTED: Bombus terrestris vesicle transport protein SEC20 (LOC100646937) transcript variant X1","XM_003392847"
"154","LOC100646694","XM_003392845.2","PREDICTED: Bombus terrestris isocitrate dehydrogenase [NAD subunit beta","XM_003392845"
"155","LOC100646815","XM_003392846.2","PREDICTED: Bombus terrestris methenyltetrahydrofolate synthase domain-containing protein (LOC100646815)","XM_003392846"
"156","LOC100646573","XM_012315295.1","PREDICTED: Bombus terrestris serine/threonine-protein kinase 32A (LOC100646573) transcript variant X2","XM_012315295"
"157","LOC100646573","XM_003392844.2","PREDICTED: Bombus terrestris serine/threonine-protein kinase 32A (LOC100646573) transcript variant X1","XM_003392844"
"158","LOC100647171","XM_003392849.2","PREDICTED: Bombus terrestris protein Star-like (LOC100647171)","XM_003392849"
"159","LOC100647285","XM_003392850.2","PREDICTED: Bombus terrestris facilitated trehalose transporter Tret1 (LOC100647285)","XM_003392850"
"160","LOC100647601","XM_012315543.1","PREDICTED: Bombus terrestris facilitated trehalose transporter Tret1 (LOC100647601)","XM_012315543"
"161","LOC100649793","XM_012317087.1","PREDICTED: Bombus terrestris 26S proteasome non-ATPase regulatory subunit 2-like (LOC100649793)","XM_012317087"
"162","LOC100647405","XM_012315933.1","PREDICTED: Bombus terrestris actin-binding LIM protein 2 (LOC100647405) transcript variant X5","XM_012315933"
"163","LOC100647405","XM_012316113.1","PREDICTED: Bombus terrestris actin-binding LIM protein 2 (LOC100647405) transcript variant X8","XM_012316113"
"164","LOC100647405","XM_012315870.1","PREDICTED: Bombus terrestris actin-binding LIM protein 2 (LOC100647405) transcript variant X4","XM_012315870"
"165","LOC100647405","XM_012316058.1","PREDICTED: Bombus terrestris actin-binding LIM protein 2 (LOC100647405) transcript variant X7","XM_012316058"
"166","LOC100647405","XM_012315808.1","PREDICTED: Bombus terrestris actin-binding LIM protein 2 (LOC100647405) transcript variant X3","XM_012315808"
"167","LOC100647405","XM_012315683.1","PREDICTED: Bombus terrestris actin-binding LIM protein 2 (LOC100647405) transcript variant X1","XM_012315683"
"168","LOC100647405","XM_012315994.1","PREDICTED: Bombus terrestris actin-binding LIM protein 2 (LOC100647405) transcript variant X6","XM_012315994"
"169","LOC100647405","XM_012315747.1","PREDICTED: Bombus terrestris actin-binding LIM protein 2 (LOC100647405) transcript variant X2","XM_012315747"
"170","LOC105666407","XR_001099275.1","PREDICTED: Bombus terrestris uncharacterized LOC105666407 (LOC105666407) ncRNA","XR_001099275"
"171","LOC100647800","XM_003392854.2","PREDICTED: Bombus terrestris lateral signaling target protein 2 homolog (LOC100647800)","XM_003392854"
"172","LOC100647922","XM_003392855.2","PREDICTED: Bombus terrestris transcription factor LBX1 (LOC100647922)","XM_003392855"
"173","LOC100648043","XM_003392856.2","PREDICTED: Bombus terrestris homeobox protein Nkx-2.5-like (LOC100648043)","XM_003392856"
"174","LOC100648154","XM_003392857.2","PREDICTED: Bombus terrestris homeobox protein MSX-1-like (LOC100648154)","XM_003392857"
"175","LOC100649911","XM_012316519.1","PREDICTED: Bombus terrestris uncharacterized LOC100649911 (LOC100649911)","XM_012316519"
"176","LOC100646280","XM_012317313.1","PREDICTED: Bombus terrestris A-kinase anchor protein 9-like (LOC100646280) transcript variant X2","XM_012317313"
"177","LOC100646280","XM_012317258.1","PREDICTED: Bombus terrestris A-kinase anchor protein 9-like (LOC100646280) transcript variant X1","XM_012317258"
"178","LOC105666565","XM_012317157.1","PREDICTED: Bombus terrestris nucleoplasmin-like protein (LOC105666565)","XM_012317157"
"179","LOC100643271","XM_003392899.2","PREDICTED: Bombus terrestris nucleotide exchange factor SIL1 (LOC100643271)","XM_003392899"
"180","LOC100643148","XM_012317480.1","PREDICTED: Bombus terrestris zinc transporter ZIP13 homolog (LOC100643148) transcript variant X1","XM_012317480"
"181","LOC100643148","XM_012317528.1","PREDICTED: Bombus terrestris zinc transporter ZIP13 homolog (LOC100643148) transcript variant X2","XM_012317528"
"182","LOC100643394","XM_012317898.1","PREDICTED: Bombus terrestris uncharacterized F-box/LRR-repeat protein C02F5.7 (LOC100643394) transcript variant X3","XM_012317898"
"183","LOC100643394","XM_012317780.1","PREDICTED: Bombus terrestris uncharacterized F-box/LRR-repeat protein C02F5.7 (LOC100643394) transcript variant X1","XM_012317780"
"184","LOC100643394","XM_012317950.1","PREDICTED: Bombus terrestris uncharacterized F-box/LRR-repeat protein C02F5.7 (LOC100643394) transcript variant X4","XM_012317950"
"185","LOC100643394","XM_012317831.1","PREDICTED: Bombus terrestris uncharacterized F-box/LRR-repeat protein C02F5.7 (LOC100643394) transcript variant X2","XM_012317831"
"186","LOC100643394","XM_012318075.1","PREDICTED: Bombus terrestris uncharacterized F-box/LRR-repeat protein C02F5.7 (LOC100643394) transcript variant X6","XM_012318075"
"187","LOC100643394","XM_012318015.1","PREDICTED: Bombus terrestris uncharacterized F-box/LRR-repeat protein C02F5.7 (LOC100643394) transcript variant X5","XM_012318015"
"188","LOC105666622","XM_012317700.1","PREDICTED: Bombus terrestris ras-related protein Rab-28-like (LOC105666622)","XM_012317700"
"189","LOC105666614","XM_012317620.1","PREDICTED: Bombus terrestris hexosaminidase D-like (LOC105666614)","XM_012317620"
"190","LOC100643599","XM_012318300.1","PREDICTED: Bombus terrestris shootin-1 (LOC100643599) transcript variant X4","XM_012318300"
"191","LOC100643599","XM_012318251.1","PREDICTED: Bombus terrestris shootin-1 (LOC100643599) transcript variant X3","XM_012318251"
"192","LOC100643599","XM_003392902.2","PREDICTED: Bombus terrestris shootin-1 (LOC100643599) transcript variant X2","XM_003392902"
"193","LOC100643599","XM_012318165.1","PREDICTED: Bombus terrestris shootin-1 (LOC100643599) transcript variant X1","XM_012318165"
"194","LOC100643599","XM_012318344.1","PREDICTED: Bombus terrestris shootin-1 (LOC100643599) transcript variant X5","XM_012318344"
"195","LOC100643719","XM_003392903.2","PREDICTED: Bombus terrestris protein BCCIP homolog (LOC100643719) transcript variant X1","XM_003392903"
"196","LOC100643719","XM_012318496.1","PREDICTED: Bombus terrestris protein BCCIP homolog (LOC100643719) transcript variant X2","XM_012318496"
"197","LOC100643838","XM_012318817.1","PREDICTED: Bombus terrestris protein Skeletor","XM_012318817"
"198","LOC100643838","XM_012318849.1","PREDICTED: Bombus terrestris protein Skeletor","XM_012318849"
"199","LOC100643838","XM_003392905.2","PREDICTED: Bombus terrestris protein Skeletor","XM_003392905"
